LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.7359950269380353,-38.59012825276912,0,11,0
-3.753615169708952,-38.54164459590011,3,8,0
-3.7849970996711857,-38.628142621930735,4,12,1
-3.785682597075801,-38.628338348513466,4,6,1
-3.787756600135571,-38.62891258356793,4,17,1
-3.787756600135571,-38.62891258356793,3,14,1
-3.787756600135571,-38.62891258356793,0,17,1
-3.698271054765285,-38.62351625082908,3,9,0
-3.805781652991626,-38.58328897746314,4,14,2
-3.783363391363093,-38.626126799260255,3,8,1
-3.783363391363093,-38.626126799260255,2,8,1
-3.783363391363093,-38.626126799260255,0,17,1
-3.783363391363093,-38.626126799260255,2,14,1
-3.783363391363093,-38.626126799260255,0,15,1
-3.783363391363093,-38.626126799260255,4,8,1
-3.717340484213684,-38.57426007042292,5,12,0
-3.748487272637599,-38.54148292868881,2,8,0
-3.762803966919876,-38.517127444556735,3,10,5
-3.791120316772744,-38.48916540664953,0,8,5
-3.836279418808104,-38.5201092245316,1,7,4
-3.837813987317729,-38.52044734940533,4,19,4
-3.8488342419430928,-38.51742383828251,4,13,4
-3.747865947341732,-38.624557600286224,1,8,1
-3.792503029385088,-38.58381694317161,0,17,2
-3.879653103477466,-38.6123440142066,4,6,3
-3.787525789287977,-38.475558981999576,0,8,5
-3.783716225840076,-38.624665282027706,6,17,1
-3.783716225840076,-38.624665282027706,0,16,1
-3.785085504606021,-38.62503492825471,3,13,1
-3.789552911584333,-38.57884106375354,0,14,2
-3.8376425284696,-38.51517168943991,4,11,4
-3.78958162813662,-38.466433807372674,0,9,5
-3.789404223777254,-38.62309674550623,1,9,1
-3.8689960243435455,-38.628940754389326,2,8,3
-3.8664853049439216,-38.62563905192537,2,8,3
-3.8664853049439216,-38.62563905192537,4,12,3
-3.787094612331768,-38.4990787957747,3,6,5
-3.833794488867119,-38.52217260389625,4,9,4
-3.785304721595194,-38.46186538644518,1,9,5
-3.827642174059768,-38.57762504390991,4,11,2
-3.735771646382173,-38.48584607301876,5,13,5
-3.8356118919517415,-38.48504037841055,2,11,4
-3.790542468192398,-38.55043504920738,3,9,2
-3.7107089669366458,-38.558773369785136,4,18,0
-3.6936203272982735,-38.62361486168715,4,17,0
-3.731217410125639,-38.47772841290723,0,11,5
-3.844430682896977,-38.52352392404534,3,6,4
-3.8927680540218654,-38.61681685148742,2,15,3
-3.730717614674825,-38.54417107720144,0,13,0
-3.756428890529468,-38.54842497554501,4,15,0
-3.7986531160682406,-38.51106005730268,5,17,4
-3.783716225840076,-38.624665282027706,2,10,1
-3.721542137311525,-38.58821420398287,5,7,0
-3.833228038660855,-38.52010280057493,6,17,4
-3.833228038660855,-38.52010280057493,2,8,4
-3.833228038660855,-38.52010280057493,2,8,4
-3.7120341470400606,-38.60500649282643,2,9,0
-3.820166297860908,-38.52522941554816,1,19,4
-3.873625468661999,-38.62712313853133,1,8,3
-3.767382120046207,-38.65054452219261,1,10,1
-3.700457825572504,-38.5785047266987,3,14,0
