cluster,day_of_week,hour,qtd_pedidos
0,0,0,1.0
0,0,1,1.0
0,0,2,1.0
0,0,3,1.0
0,0,4,1.0
0,0,5,1.3333333333333333
0,0,6,1.6
0,0,7,4.083333333333333
0,0,8,8.692307692307692
0,0,9,8.210526315789474
0,0,10,7.153846153846154
0,0,11,6.157894736842105
0,0,12,4.361111111111111
0,0,13,5.0256410256410255
0,0,14,5.305555555555555
0,0,15,4.868421052631579
0,0,16,4.783783783783784
0,0,17,4.0
0,0,18,2.2
0,0,19,1.8888888888888888
0,0,20,1.8125
0,0,21,1.55
0,0,22,1.3333333333333333
0,0,23,1.4
0,1,0,1.0
0,1,1,1.0
0,1,3,1.0
0,1,5,1.1
0,1,6,1.75
0,1,7,3.888888888888889
0,1,8,7.473684210526316
0,1,9,7.358974358974359
0,1,10,6.3076923076923075
0,1,11,5.666666666666667
0,1,12,4.621621621621622
0,1,13,5.555555555555555
0,1,14,5.8108108108108105
0,1,15,5.605263157894737
0,1,16,4.111111111111111
0,1,17,2.8333333333333335
0,1,18,1.8125
0,1,19,1.68
0,1,20,1.5294117647058822
0,1,21,1.75
0,1,22,1.3636363636363635
0,1,23,1.25
0,2,0,1.0
0,2,1,1.5
0,2,3,1.0
0,2,4,1.0
0,2,5,1.0
0,2,6,1.9523809523809523
0,2,7,3.5945945945945947
0,2,8,7.384615384615385
0,2,9,7.666666666666667
0,2,10,7.684210526315789
0,2,11,6.631578947368421
0,2,12,4.027027027027027
0,2,13,5.631578947368421
0,2,14,5.513513513513513
0,2,15,4.7105263157894735
0,2,16,4.2894736842105265
0,2,17,3.774193548387097
0,2,18,2.0689655172413794
0,2,19,1.8846153846153846
0,2,20,1.5833333333333333
0,2,21,1.1764705882352942
0,2,22,1.3
0,2,23,1.0
0,3,0,1.0
0,3,1,1.0
0,3,2,1.0
0,3,3,1.0
0,3,4,1.0
0,3,5,1.0
0,3,6,1.9615384615384615
0,3,7,3.108108108108108
0,3,8,7.657894736842105
0,3,9,7.421052631578948
0,3,10,7.081081081081081
0,3,11,4.815789473684211
0,3,12,4.45945945945946
0,3,13,4.815789473684211
0,3,14,5.527777777777778
0,3,15,4.138888888888889
0,3,16,3.5384615384615383
0,3,17,2.342857142857143
0,3,18,1.8571428571428572
0,3,19,1.5769230769230769
0,3,20,1.3157894736842106
0,3,21,1.4210526315789473
0,3,22,1.0
0,4,0,1.0
0,4,1,1.0
0,4,4,1.0
0,4,5,1.0
0,4,6,1.75
0,4,7,3.3783783783783785
0,4,8,6.775
0,4,9,6.85
0,4,10,6.868421052631579
0,4,11,5.175
0,4,12,3.810810810810811
0,4,13,4.828571428571428
0,4,14,5.052631578947368
0,4,15,4.833333333333333
0,4,16,3.810810810810811
0,4,17,2.657142857142857
0,4,18,2.391304347826087
0,4,19,1.5384615384615385
0,4,20,1.0
0,4,21,1.5
0,4,22,1.4615384615384615
0,4,23,1.1
0,5,0,1.0
0,5,1,1.0
0,5,2,1.0
0,5,3,1.0
0,5,4,1.0
0,5,5,1.125
0,5,6,1.5454545454545454
0,5,7,3.0606060606060606
0,5,8,3.7941176470588234
0,5,9,4.421052631578948
0,5,10,4.135135135135135
0,5,11,2.7142857142857144
0,5,12,3.064516129032258
0,5,13,2.53125
0,5,14,2.303030303030303
0,5,15,2.0
0,5,16,2.3666666666666667
0,5,17,1.7241379310344827
0,5,18,1.7058823529411764
0,5,19,1.5
0,5,20,1.1111111111111112
0,5,21,1.3333333333333333
0,5,22,1.4545454545454546
0,5,23,1.0
0,6,0,1.25
0,6,1,2.0
0,6,2,1.0
0,6,3,1.0
0,6,5,1.0
0,6,6,1.35
0,6,7,2.3333333333333335
0,6,8,2.606060606060606
0,6,9,2.5277777777777777
0,6,10,3.032258064516129
0,6,11,1.75
0,6,12,1.6666666666666667
0,6,13,1.8695652173913044
0,6,14,1.3157894736842106
0,6,15,1.625
0,6,16,1.6153846153846154
0,6,17,1.6875
0,6,18,1.2857142857142858
0,6,19,1.4375
0,6,20,1.3333333333333333
0,6,21,1.3
0,6,22,1.3333333333333333
0,6,23,1.3333333333333333
1,0,2,4.0
1,0,3,1.0
1,0,5,1.1428571428571428
